class,text
negative,"Interesting... @apple now requires you to have a reservation ? #apple #iphone #4S : http://t.co/zZK4fTii"
negative,"@apple why is my iPhone battery so crappy #fail"
negative,"My @Apple @macbook keyboard will not type :("
negative,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why? @gruber"
negative,"@apple, your new Save a Version function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world"
negative,"I hate my @apple computer. Thats 3500 dollars down the drain."
negative,"@apple my iPhone is charging very slowly!!!!!"
negative,"@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem, or give me the ipad2"
negative,"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!"
negative,"@Apple iTunes is the worst program ever. For such a great phone, you make some awful software."
negative,"One would think the voice recognition on the @apple tech support line would work a little better."
negative,"@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!"
negative,"@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do."
negative,"@AsimRang @apple @umber the desktop app is wack though"
negative,"I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm"
negative,"Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight"
negative,"Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #"
negative,"#DontBeMadAtMeBecause #Android is by far better than @Apple"
negative,"@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound."
negative,"@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt"
negative,"Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise."
negative,"Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!"
negative,"Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???"
negative,"fuck u @apple"
negative,"oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it"
negative,"why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple"
negative,". if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed"
negative,"iMessage doesn't show the time a message was sent, annoying @apple"
negative,"Like @apple da fuck is this shit? http://t.co/nb4DHlSg"
negative,"RT @CircusTK: I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my t ..."
negative,"Damn it @Apple!! Whatchu done to my phone??"
negative,"Samsung seeks iPhone 4S ban in Japan and Australia Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk"
negative,"@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail"
negative,"@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??"
negative,"RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownru ..."
negative,"@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp"
negative,"@albertmal88 remember @apple is evil. #icloud entering the #dropbox market"
negative,"9% now on my second full charge of the day. Pissed @Apple"
negative,"My #iPhone4S battery is dying like crazy @Apple!!"
negative,"RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!"
negative,"I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!”"
negative,"ugh! @apple, you’re reservation page for the iPhone is NOT working."
negative,"iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use."
negative,"Deár iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs"
negative,"i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple"
negative,"Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up."
negative,"oh.. my iphone is overcapacity huh?! -____- @Apple won't let me be great!!!"
negative,"Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!"
negative,"@apple u guys are gay"
negative,"Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS? Y NO TEXTS.... #iOS5 #iOS5atemydingo"
negative,"none of my apps work after the new ios from @apple. what do i do?!?"
negative,"Seemingly endless loop of calls to @apple, @ups, @verizonwireless to investigate my missing #iphone4s. #crankywithnophone"
negative,"@Wisconsin_Mommy @apple that's terrible! I hope you get an apology!"
negative,"@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed."
negative,"@chascouponmom @apple I get they are busy w/ the new phone, but I just wanted to buy a stylus. they made me wait forever outside & never"
negative,"@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone"
negative,"I'm givin' this stupid @apple reserve system 2days… If I cant get reservation, I'll never buy any Apple products… (yup I hate contracts)"
negative,"@sprint @bestbuy still no word on my iPhone4s preorder. Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer. #help"
negative,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed."
negative,"Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6"
negative,"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg"
negative,"Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!"
negative,"@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!'"
negative,"What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration."
negative,"Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh"
negative,"Where is my iPhone!?!?!?! @apple"
negative,"@apple battery life suck on iOS 5"
negative,"An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today."
negative,"@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk. Any plans for a new service for storage?"
negative,"Hey @apple why can't I share a reminder list from my iPhone? Also why can't I login to the iCloud webpage to modify sharing from my phone?"
negative,"Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade"
negative,"could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous"
negative,"Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f"
negative,"GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me."
negative,"Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread"
negative,"“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5"
negative,"As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad"
negative,"I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN"
negative,"“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?"
negative,"I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks."
negative,"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly."
negative,"Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall"
negative,"RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better."
negative,"@apple If you want to know what customers think dont send updates with the noreply return address. Who invented that anyway. #useless"
negative,"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing Who Knew by Pink. Still not Flawless @Apple"
negative,"should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience"
negative,"Ok Hindi keyboard in #iOS5 is something to cheer about. But @apple what about support for 20+ missing Indian languages!? #FAIL"
negative,"RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade ..."
negative,"@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx"
negative,"Waiting for items to copy in Itunes after everything DID copy goes on, and on, and on. Come on @Apple, what the hell?"
negative,"@Apple unhappy again with service/product quality. Won't buy @Apple again."
negative,"Lies @apple. the battery on this new iPhone4S is definitely not any better."
negative,"“@philipgrey: dear @apple, why you gotta go change the way &lt;input type=number&gt; is handled out of the blue?”"
negative,"Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable."
negative,"anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment"
negative,"For being the inventor of the computer mouse — Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?"
negative,"@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain, genius bar wants to replace the battery. Really?"
negative,"1st impressions of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do how much time went in2 orging it? #fail"
negative,"@PrJusto Don't question the @Apple they will remember your dissent!"
negative,"@apple: Multiple times siri is having trouble connecting to the network. Siri needs servers (and some exercise!)"
negative,"So my iMessage still isn't working! @apple"
negative,"RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ..."
negative,"dear @apple, why you gotta go change the way &lt;input type=number&gt; is handled out of the blue?"
negative,"Ugh. WTF is up with all the bottlenecks @paypal @apple?"
negative,"+1 RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!"
negative,"@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!"
negative,"if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?"
negative,"any chance @apple will release good headphones that dont blast music outside the ears? #iphone #ipod its quite obnoxious"
negative,"@Apple - #Siri is not working due to network problem? Seriously? Can you fix this? #iPhone4s #Fail"
negative,"@trisha_ps @iCloud is Cloudy. @apple tech, not very techy."
negative,"@electricsoup It has to connect to @Apple to process commands, which it is failing to do right now"
negative,"See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!"
negative,"This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"
negative,"Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"
negative,"Spoke to an @Apple rep on phone & could hear her tv blaring in the bg. She said, I can't actually help u, just direct u back to the web"
negative,"What's wrong with Siri today @apple"
negative,"@Apple Siri is down!"
negative,"I'm suspecting @Apple timed the health-decline of my iPhone 4 perfectly with the iPhone 4s release... My battery is seriously ailing."
negative,"on hold for another half hour. phone is ringing but no one is picking up.@apple you stink."
negative,"Ok this @Apple software update for the #iphone is taking waaaaay too long! #annoyed"
negative,"@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO"
negative,"@apple does iOS 5 rape your battery life? or am I just using my phone a lot since getting it"
negative,"@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT APPLE }:0( #itjustworks"
negative,"@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty."
negative,"@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful."
negative,"@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL"
negative,"@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life."
negative,"I wish the Apple updater would stop trying to ram iTunes down my throat. I don't own a pissing iPhone @apple"
negative,"Is it me or does my #iPhone run slower since the #iOS 5 update? @apple @Verizon"
negative,"Just searching with my voice on my 2 year old nexus one @apple."
negative,"@apple, your update server has been timing out for a week. i had to force a restore w/the new #iOS5 software. lost all my stuff. thanks!"
negative,"#appleupdates 2 success stories- iPhone & iPad 2. Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time @apple #Replaceit!"
negative,"Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone"
negative,"I am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple"
negative,"but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz"
negative,"My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!"
negative,"Pondering the iOS update... From the sounds of @MikeFerri's difficulties, I may just hold off :/ @Apple, FIX IT!"
negative,"@twalve @apple you know the issues they have with DST and alarms :p"
negative,"Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing"
negative,"Apparently @Apple genius training doesn't extend to clocks & service. They're half an hour late for my appointment and couldn't let me know?"
negative,"Thanks @apple for an OS update that has only succesfully bricked my iPod."
negative,"screw you @apple iOS 5. I can't download this crap, and I'm tired of trying. Get this problem figured out about my connection timing out"
negative,"Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs."
negative,"@apple why don't you guys test your upgrades before you put them out. 15 1/2 hrs u guys wasted of my time yesterday. Thanks."
negative,"what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles"
negative,"#iPad in perpetual restore loop after trying to upgrade to #iOS5 :( @apple sux without steve"
negative,"2nd @apple genius apptment running late 2nd day in row for 2nd dodgy iPod . You make mega $$$ hire some staff."
negative,"It took @apple about 7 years just to figure out how to properly syncronize an iPhone. WOW! #ios5"
negative,"@apple So I went to the 5th Ave store and was told I could wait about 4 hours to get a 4S. Needless to say I'm back at the hotel relaxing."
negative,"Overall I am a fan of the iPhone 4S; however, my Siri has issues connecting to the network @Apple"
negative,"Terrible customer service at Los Gatos @Apple! Why do I have to pay $199 for a bad home button on my iPhone?!?"
negative,"Having major battery drain issue since updating iPhone 4 to iOS 5. Anyone else? @AppStore @iPhone @apple"
negative,"Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!"
negative,"@apple thanks for ios5 - loving having my music breaking up like I'm talking on a mobile (cell) phone. Bring back functional 4 #iosdonwgrade"
negative,"@Apple, #iOS5 on iPhone2 causes Camera apperature dilation problems & freeze."
negative,"@Apple, #iOS5 #geolocation Suburbs with 2 words drops Map Pins in other States! Please fix."
negative,"Sorry @apple, but #iMessage will never be what #BBM is. Disappointed."
negative,"Iphone 4s siri doesn't work for shit @apple"
negative,"Clarence Thomas must have designed the new OSX lion, tossing decades of workflow standards, @apple bring back “save as”! #autoSaveSucks"
negative,"@semilshah yeah except that when you ask for a receipt, it takes them 30 minutes to figure out where it printed out. Fix that, @Apple!"
negative,"RT @JDougyJ: hey @apple do you wanna fix my fucking playlist order, you piece of shit"
negative,"Bummer! My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running."
negative,"@Apple can suck my dick gotta restore my ipad #annoyed"
negative,"The line at the @apple is just STUPID"
negative,"@nansen Man, that sux! @apple io5 upgrade a total #fail for you!"
negative,"Dear @Apple Contacts, you are terrible. I just cleaned duplicates for 3 hours and they magically reappeared. Fix it."
negative,"Is it too much to ask which app is incompatible, @apple? http://t.co/yKqip7nk"
negative,"Pissed with whoever designs keyboards with @apple for not having a home and end key. working on the CLI i use those keys often"
negative,"@NoVaTyler @apple Most of mine are gone too! Not recovered after I saved them b4 I upgraded my iPhone! Soooo pissed!"
negative,"Siri is having a hard time remembering who my sister is. contact card needs space for family info. #iPhone4S @apple"
negative,"#ios5 getting sloppy @apple. U need to check your QA team. Too many issues with apps, data and syncing"
negative,"RT @nansen: so this SMS full message is known @apple issue with new iOS5 update. trying restore. When all else #fail - restore."
negative,"So glad that I paid $69 for this @apple care protection plan. Been on hold for over 20 minutes now. Great customer service. #NOT"
negative,"not happy with @apple right now. the upgrade to my itouch4 took out my itouch and laptop. #help"
negative,"All I can say about @Apple right now is #GoodRiddance — See? Cancer isn't ALL BAD!"
negative,"@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault."
negative,"@apple What's the point of iCloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now? #worstupdateever"
negative,"@robert_terpstra no worries bud, ps: they're saying that the 4s is having a lot of network issues right now. (I'm @apple for mac problems)"
negative,"I hate you @apple for not sending Toledo,oh @bestbuy any @iPhone for @verizon even after I pre ordered!!!"
negative,"@pmphillips @apple If my non-Apple equipment broke this often, I guess I'd need an Asus genius bar. But it doesn't, so I don't :-)"
negative,"Why is the new @apple iPhone OS duplicating all my iCal events? There's 2 of everything. How do I fix it? (tried turning iCloud off)"
negative,"Dear @Apple, how convenient/handy/thoughtful/smart that after iPhone #ios5 update you're apps won't work anymore! (none!!!) :( #gr%\mbl^.%)"
negative,"Hey @Apple...I know Steve Jobs died & all but my Twitter for iPad app keeps crashing...Fix it...NOW..please..lol -F.Light"
negative,"@apple not happy with Apple today. I did the suggested software update and now nothing works!!!"
negative,"Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!"
negative,"I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail"
negative,"Dear @Apple.inc Facetime doesn't work in here, Fuck You"
negative,"I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me."
negative,"Life was much easier when @apple and @BlackBerry were just fruits!"
negative,"@apple No location reminders on ipad2! That was the point of updating to iOS 5"
negative,"Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?"
negative,"Turns out my computer isn't as fixed as it is meant to be. Fuck you @Apple, I'm going back to your Genius Bar to complain. #annoyed"
negative,"If @apple doesn't fix iOS5 this week, I'm buying a droid #emptythreats"
negative,"@apple pls launch #Siri on iphone4 .. Disappointed after spending hours for upgrading to iOS5.."
negative,"@apple you can suck it you and your fucking iPhones better be glad it's all I like cause the service Is fucking terrible"
negative,"This is the first time I've been unhappy with any @apple product... Disappointed, and the Internet seems as confused as I am right now."
negative,"After a week or so with @Apple's #iOS5 I'm considering going back to #jailbroken 4.2 - same features as 5, plus more. Not as stable, though."
negative,"Had issues with #Siri reaching network today. Too many uses or my signal? @apple"
negative,"The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?"
negative,"Is it me or does #iPhone4s run a little warm sometimes? @apple"
negative,"@apple WTF why can we not add the newsstand to a folder?! We are already in your walled garden, so please don't remind us of it."
negative,"@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??"
negative,"Dear @Apple, I don't want the newsstand icon on my screen. #notcool"
negative,"@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye"
negative,"Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!"
negative,"I wish Siri could tweet for me . @apple fix that ."
negative,"@apple I'm still waiting for you to deliver my phone to @sprint"
negative,"I will never purchase another @Apple product for the rest of my life. I am glad Steve Jobs is fucking dead. MAY YOU FUCKING ROT IN HELL!!!!!"
negative,"Thanks to @Apple my new iMac is a brick. I cannot re-install Lion and I cannot purchase it because it was installed by the former owner."
negative,"Asked #Siri Where's Baby Lisa? and was told sorry, I'm having trouble connecting to the network right now. @apple server fail. #ios5"
negative,"Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!"
negative,"Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!"
negative,"yo, @apple, this update is a disaster"
negative,"Dear @Apple,Congratulations, I am suing my insurance company and you just managed to make it to the top of my shit list. #Ineedthosepictures"
negative,"Dear @Apple: You must let me turn off iCloud to save bandwidth and NOT delete EVERY document on my iPad. That's BULLSHIT!"
negative,"RT @JoelBurns: Dear @Apple, it's me again. Thank for beautiful new iOS features. But I miss some of the old ones. Lk making calls & texts &gt;("
negative,"By far the worst experience upgrading out of any version of iOS @apple #iOS5"
negative,"What happened? RT @xCuntNuggetx: Never purchasing another item from @apple."
negative,"Never purchasing another item from @apple."
negative,"RT @leiboaz: Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store."
negative,"Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store."
negative,"Hey guys at @Apple, WTF is happening to #iPhone4, with #iOS5 suddenly fade to black and begin to vibrate continuously, I had to reboot it"
negative,"@hbogo @apple - why don't you play nice and let me use HDMI from iPad? Pretty lame."
negative,"Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment"
negative,"RT @JoelBurns: Dear @Apple, it's me again. Thanks for beautiful new iOS features. But I miss some of the old ones. Like making calls & t ..."
negative,"…and only the first 23 images in my Photo Roll made it over? Seriously, @apple, how did you fuck this up so much?"
negative,"@apple why does #iPhone4 plus #iOS5 equal half the battery life?"
negative,"@apple why isn't my iTunes updating? I just wanna update my iPhone to IOS5!!! Then iTunes says that it needs to update to do it. Then fails!"
negative,"Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?"
negative,"@amandbrar @apple Siri has worked for me less than 10% of the time. If service doesn't improve by Monday, I'm returning my iPhone 4S."
negative,"@azrael: RT @DavideGori: And again #MobileMe is down. Issues when syncing, accessing mail... is this a good premise for #iCloud? @Apple, ..."
negative,"need @apple help!! installing new ios on #iphone4 and am stuck on the Find My iPhone screen :( i keep clicking next but it doesn't work"
negative,"Bummer that @Apple #iCloud syncs on Windows only w/ Outlook (not Thunderbird) & IE (not Firefox, Chrome). #sadmac"
negative,"@RonakKataria @apple you heard of testing before deploying updates. Difference between microsoft & apple: None"
negative,"Disappointing visual merchandising, @apple. Simple, but lacks elegance. And sequence doesn't even tell us about #Siri. http://t.co/XV2q3gfi"
negative,"has been on terminal hold with @apple support! She must not be the only person having trouble with the new iphone and synching!"
negative,"@apple thanks apple for ios 5 and losing all my contacts!"
negative,"@apple give me my apps back!!!"
negative,"@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A MOBILE ME SCREEN"
